fit_id,heldout,k,combo,variant,seed,sibling_in_train,n_train,macro_f1
83,2wikimultihop,2,webshop+webgames,raw,3,False,3330,0.3102
84,2wikimultihop,2,webshop+webgames,raw,4,False,3330,0.2933
85,2wikimultihop,2,webshop+webgames,budget,0,False,1023,0.2803
86,2wikimultihop,2,webshop+webgames,budget,1,False,1023,0.2837
87,2wikimultihop,2,webshop+webgames,budget,2,False,1023,0.2691
88,2wikimultihop,2,webshop+webgames,budget,3,False,1023,0.2868
89,2wikimultihop,2,webshop+webgames,budget,4,False,1023,0.2702
90,2wikimultihop,2,deepshop+webgames,raw,0,False,2299,0.2258
91,2wikimultihop,2,deepshop+webgames,raw,1,False,2299,0.2357
92,2wikimultihop,2,deepshop+webgames,raw,2,False,2299,0.2329
93,2wikimultihop,2,deepshop+webgames,raw,3,False,2299,0.2285
94,2wikimultihop,2,deepshop+webgames,raw,4,False,2299,0.2349
95,2wikimultihop,2,deepshop+webgames,budget,0,False,1023,0.2416
96,2wikimultihop,2,deepshop+webgames,budget,1,False,1023,0.1914
97,2wikimultihop,2,deepshop+webgames,budget,2,False,1023,0.2715
98,2wikimultihop,2,deepshop+webgames,budget,3,False,1023,0.222
99,2wikimultihop,2,deepshop+webgames,budget,4,False,1023,0.2219
100,2wikimultihop,3,frames+webshop+deepshop,raw,0,True,5177,0.5378
101,2wikimultihop,3,frames+webshop+deepshop,raw,1,True,5177,0.5414
102,2wikimultihop,3,frames+webshop+deepshop,raw,2,True,5177,0.5496
103,2wikimultihop,3,frames+webshop+deepshop,raw,3,True,5177,0.5453
104,2wikimultihop,3,frames+webshop+deepshop,raw,4,True,5177,0.5427
105,2wikimultihop,3,frames+webshop+deepshop,budget,0,True,1023,0.4315
106,2wikimultihop,3,frames+webshop+deepshop,budget,1,True,1023,0.4328
107,2wikimultihop,3,frames+webshop+deepshop,budget,2,True,1023,0.4839
108,2wikimultihop,3,frames+webshop+deepshop,budget,3,True,1023,0.4653
109,2wikimultihop,3,frames+webshop+deepshop,budget,4,True,1023,0.4239
110,2wikimultihop,3,frames+webshop+webgames,raw,0,True,5430,0.5163
111,2wikimultihop,3,frames+webshop+webgames,raw,1,True,5430,0.5075
112,2wikimultihop,3,frames+webshop+webgames,raw,2,True,5430,0.5205
113,2wikimultihop,3,frames+webshop+webgames,raw,3,True,5430,0.5165
114,2wikimultihop,3,frames+webshop+webgames,raw,4,True,5430,0.5188
115,2wikimultihop,3,frames+webshop+webgames,budget,0,True,1023,0.4285
116,2wikimultihop,3,frames+webshop+webgames,budget,1,True,1023,0.417
117,2wikimultihop,3,frames+webshop+webgames,budget,2,True,1023,0.4314
118,2wikimultihop,3,frames+webshop+webgames,budget,3,True,1023,0.4386
119,2wikimultihop,3,frames+webshop+webgames,budget,4,True,1023,0.4415
120,2wikimultihop,3,frames+deepshop+webgames,raw,0,True,4399,0.5152
121,2wikimultihop,3,frames+deepshop+webgames,raw,1,True,4399,0.5083
122,2wikimultihop,3,frames+deepshop+webgames,raw,2,True,4399,0.5158
123,2wikimultihop,3,frames+deepshop+webgames,raw,3,True,4399,0.5184
124,2wikimultihop,3,frames+deepshop+webgames,raw,4,True,4399,0.5259
125,2wikimultihop,3,frames+deepshop+webgames,budget,0,True,1023,0.4546
126,2wikimultihop,3,frames+deepshop+webgames,budget,1,True,1023,0.4343
127,2wikimultihop,3,frames+deepshop+webgames,budget,2,True,1023,0.4059
128,2wikimultihop,3,frames+deepshop+webgames,budget,3,True,1023,0.4457
129,2wikimultihop,3,frames+deepshop+webgames,budget,4,True,1023,0.4295
130,2wikimultihop,3,webshop+deepshop+webgames,raw,0,False,4353,0.2939
131,2wikimultihop,3,webshop+deepshop+webgames,raw,1,False,4353,0.3054
132,2wikimultihop,3,webshop+deepshop+webgames,raw,2,False,4353,0.31
133,2wikimultihop,3,webshop+deepshop+webgames,raw,3,False,4353,0.3025
134,2wikimultihop,3,webshop+deepshop+webgames,raw,4,False,4353,0.3167
135,2wikimultihop,3,webshop+deepshop+webgames,budget,0,False,1023,0.3158
136,2wikimultihop,3,webshop+deepshop+webgames,budget,1,False,1023,0.3123
137,2wikimultihop,3,webshop+deepshop+webgames,budget,2,False,1023,0.2585
138,2wikimultihop,3,webshop+deepshop+webgames,budget,3,False,1023,0.2888
139,2wikimultihop,3,webshop+deepshop+webgames,budget,4,False,1023,0.2653
140,2wikimultihop,4,frames+webshop+deepshop+webgames,raw,0,True,6453,0.5138
141,2wikimultihop,4,frames+webshop+deepshop+webgames,raw,1,True,6453,0.5163
142,2wikimultihop,4,frames+webshop+deepshop+webgames,raw,2,True,6453,0.5128
143,2wikimultihop,4,frames+webshop+deepshop+webgames,raw,3,True,6453,0.5153
144,2wikimultihop,4,frames+webshop+deepshop+webgames,raw,4,True,6453,0.5154
145,2wikimultihop,4,frames+webshop+deepshop+webgames,budget,0,True,1023,0.4708
146,2wikimultihop,4,frames+webshop+deepshop+webgames,budget,1,True,1023,0.389
147,2wikimultihop,4,frames+webshop+deepshop+webgames,budget,2,True,1023,0.3961
148,2wikimultihop,4,frames+webshop+deepshop+webgames,budget,3,True,1023,0.4606
149,2wikimultihop,4,frames+webshop+deepshop+webgames,budget,4,True,1023,0.435
150,frames,1,2wikimultihop,raw,0,True,2055,0.4225
151,frames,1,2wikimultihop,raw,1,True,2055,0.4104
152,frames,1,2wikimultihop,raw,2,True,2055,0.4152
153,frames,1,2wikimultihop,raw,3,True,2055,0.4073
154,frames,1,2wikimultihop,raw,4,True,2055,0.4161
155,frames,1,2wikimultihop,budget,0,True,1023,0.4105
156,frames,1,2wikimultihop,budget,1,True,1023,0.3903
157,frames,1,2wikimultihop,budget,2,True,1023,0.3897
158,frames,1,2wikimultihop,budget,3,True,1023,0.3851
159,frames,1,2wikimultihop,budget,4,True,1023,0.3699
160,frames,1,webshop,raw,0,False,2054,0.2992
161,frames,1,webshop,raw,1,False,2054,0.3129
162,frames,1,webshop,raw,2,False,2054,0.3053
163,frames,1,webshop,raw,3,False,2054,0.2962
164,frames,1,webshop,raw,4,False,2054,0.2994
165,frames,1,webshop,budget,0,False,1023,0.2771
166,frames,1,webshop,budget,1,False,1023,0.2635
167,frames,1,webshop,budget,2,False,1023,0.2772
168,frames,1,webshop,budget,3,False,1023,0.2932
169,frames,1,webshop,budget,4,False,1023,0.2633
170,frames,1,deepshop,raw,0,False,1023,0.266
171,frames,1,deepshop,raw,1,False,1023,0.2673
172,frames,1,deepshop,raw,2,False,1023,0.2873
173,frames,1,deepshop,raw,3,False,1023,0.2788
174,frames,1,deepshop,raw,4,False,1023,0.2758
175,frames,1,deepshop,budget,0,False,1023,0.2746
176,frames,1,deepshop,budget,1,False,1023,0.2801
177,frames,1,deepshop,budget,2,False,1023,0.2799
178,frames,1,deepshop,budget,3,False,1023,0.2602
179,frames,1,deepshop,budget,4,False,1023,0.279
180,frames,1,webgames,raw,0,False,1276,0.1498
181,frames,1,webgames,raw,1,False,1276,0.1488
182,frames,1,webgames,raw,2,False,1276,0.1493
183,frames,1,webgames,raw,3,False,1276,0.1491
184,frames,1,webgames,raw,4,False,1276,0.1537
185,frames,1,webgames,budget,0,False,1023,0.1739
186,frames,1,webgames,budget,1,False,1023,0.1392
187,frames,1,webgames,budget,2,False,1023,0.1484
188,frames,1,webgames,budget,3,False,1023,0.14
189,frames,1,webgames,budget,4,False,1023,0.1333
190,frames,2,2wikimultihop+webshop,raw,0,True,4109,0.4577
191,frames,2,2wikimultihop+webshop,raw,1,True,4109,0.464
192,frames,2,2wikimultihop+webshop,raw,2,True,4109,0.4548
193,frames,2,2wikimultihop+webshop,raw,3,True,4109,0.4712
194,frames,2,2wikimultihop+webshop,raw,4,True,4109,0.4688
