dataset,held_out,family,group,n_known,n_unknown,macro_f1_known,auroc,miss_at_far_1pct,miss_at_far_5pct,eer,oscr,artifact_auroc,artifact_fpr95
webshop,seed_2_lite,seed-2,easy,962,293,0.7257,0.3547,0.9966,0.9761,0.5846,0.3101,0.376,0.959
webshop,uitars_7b,uitars-1.5,easy,964,285,0.7528,0.6313,0.9754,0.8947,0.4218,0.5387,0.6048,0.9158
deepshop,claude_opus_4_6,claude-4,easy,485,150,0.7333,0.7054,1.0,0.92,0.3584,0.5903,0.6949,0.9533
deepshop,gemini_3_1,gemini-3,hard,486,148,0.7476,0.6769,0.9595,0.8784,0.3894,0.572,0.6902,0.8986
deepshop,gemini_3_flash,gemini-3,hard,487,142,0.7292,0.7082,0.9859,0.9085,0.3648,0.5804,0.7279,0.831
deepshop,gemma-4-31B-it,gemma-4,hard,486,148,0.7486,0.7126,0.9527,0.8716,0.3441,0.597,0.7226,0.8311
deepshop,gemma_4_26B_A4B_it,gemma-4,hard,488,138,0.7406,0.7483,0.9855,0.7826,0.3383,0.6133,0.7321,0.8406
deepshop,glm_4.6v,glm-4.6v,hard,485,150,0.7254,0.7535,0.9667,0.8533,0.3123,0.6119,0.7463,0.8333
deepshop,glm_4.6v_flash,glm-4.6v,hard,485,147,0.7176,0.7287,0.9728,0.8503,0.3545,0.5787,0.6999,0.8435
deepshop,gpt_5_4,gpt-5,easy,485,150,0.7437,0.7274,0.9867,0.88,0.3465,0.5993,0.7296,0.84
deepshop,qwen3_5_27b,qwen3.5,hard,485,147,0.731,0.6709,0.9796,0.932,0.3524,0.5387,0.6851,0.8912
deepshop,qwen3_5_9b,qwen3.5,hard,485,147,0.7534,0.735,0.9864,0.8231,0.3532,0.6083,0.7428,0.9048
deepshop,qwen3vl_30b_a3b,qwen3-vl,hard,485,150,0.7345,0.5329,1.0,0.9533,0.4964,0.4636,0.5123,0.9467
deepshop,qwen3vl_8b,qwen3-vl,hard,485,149,0.7441,0.5964,0.9933,0.9597,0.4532,0.5107,0.5918,0.9463
deepshop,seed_2_lite,seed-2,easy,485,150,0.7124,0.4661,1.0,1.0,0.52,0.3992,0.4592,0.9867
deepshop,uitars_7b,uitars-1.5,easy,487,139,0.7322,0.5362,1.0,0.9496,0.4735,0.4573,0.5711,0.9209
